audio_path,text
D:\PersonalProjs\NLP With LLM\data\audio\s1.1.mp3,The quick brown fox jumps over the lazy dog
D:\PersonalProjs\NLP With LLM\data\audio\s1.2.mp3,She sells seashells by the seashore
D:\PersonalProjs\NLP With LLM\data\audio\s1.3.mp3,I scream you scream we all scream for ice cream
D:\PersonalProjs\NLP With LLM\data\audio\s2.1.mp3,Could you repeat that please
D:\PersonalProjs\NLP With LLM\data\audio\s2.2.mp3,I'm just checking the time
D:\PersonalProjs\NLP With LLM\data\audio\s2.4.mp3,Do you have any plans for the weekend
D:\PersonalProjs\NLP With LLM\data\audio\s3.1.mp3,Despite the rain the parade continued with great enthusiasm
D:\PersonalProjs\NLP With LLM\data\audio\s3.2.mp3,Technology is rapidly transforming the way we live and work
D:\PersonalProjs\NLP With LLM\data\audio\s3.3.mp3,Please ensure all documents are submitted by Friday afternoon
D:\PersonalProjs\NLP With LLM\data\audio\s4.1.mp3,The zebra eagerly zigzagged across the zoo
D:\PersonalProjs\NLP With LLM\data\audio\s4.2.mp3,Unique New York you know you need unique New York
D:\PersonalProjs\NLP With LLM\data\audio\s4.5.mp3,Rarely does one find such exquisite craftsmanship
D:\PersonalProjs\NLP With LLM\data\audio\s5.1.mp3,My favorite fruit is a mango not an apple
D:\PersonalProjs\NLP With LLM\data\audio\s5.3.mp3,The museum features ancient artifacts
D:\PersonalProjs\NLP With LLM\data\audio\s5.4.mp3,She borrowed a book from the library
D:\PersonalProjs\NLP With LLM\data\audio\s6.1.mp3,Today is September 25th 2024
D:\PersonalProjs\NLP With LLM\data\audio\s6.2.mp3,The project deadline is in three weeks
D:\PersonalProjs\NLP With LLM\data\audio\s6.4.mp3,My flight leaves at 7:45 AM
D:\PersonalProjs\NLP With LLM\data\audio\s8.1.mp3,I can't believe how amazing that concert was
D:\PersonalProjs\NLP With LLM\data\audio\s8.2.mp3,This is one of the best meals I've ever had
D:\PersonalProjs\NLP With LLM\data\audio\s8.3.mp3,That movie left me feeling very emotional